#,title,videoUrl,videoId,publishedAt,position
1,Buttered Toast [Original Song] | Lyric Video,https://www.youtube.com/watch?v=e4Lbhd8a4fA&list=PLFBWgqupDy_tz1Rft9V8w2WivCck2wJOO&index=1,e4Lbhd8a4fA,2021-07-14T16:00:12Z,0
2,Goodnight For Now [Original Song] | Lyric Video,https://www.youtube.com/watch?v=_lKrAoI63uI&list=PLFBWgqupDy_tz1Rft9V8w2WivCck2wJOO&index=2,_lKrAoI63uI,2022-02-02T17:00:49Z,1
3,Over Amplified [Original Song] | Lyric Video,https://www.youtube.com/watch?v=niJZw4kZ7ak&list=PLFBWgqupDy_tz1Rft9V8w2WivCck2wJOO&index=3,niJZw4kZ7ak,2021-07-28T16:00:11Z,2
4,Ain't The Kinda Lovin' I Do [Original Song] | Lyric Video,https://www.youtube.com/watch?v=j-SYw_hNRmc&list=PLFBWgqupDy_tz1Rft9V8w2WivCck2wJOO&index=4,j-SYw_hNRmc,2021-06-22T16:00:10Z,3
5,Scintilla Sempiternal,https://www.youtube.com/watch?v=PPILmkX-RHc&list=PLFBWgqupDy_tz1Rft9V8w2WivCck2wJOO&index=5,PPILmkX-RHc,2022-02-01T10:02:01Z,4
6,Gone Away,https://www.youtube.com/watch?v=uvXoGwuDtc0&list=PLFBWgqupDy_tz1Rft9V8w2WivCck2wJOO&index=6,uvXoGwuDtc0,2022-02-01T10:08:36Z,5
7,In Your Rain [Original Song] | Lyric Video,https://www.youtube.com/watch?v=_Mz3QyH3K18&list=PLFBWgqupDy_tz1Rft9V8w2WivCck2wJOO&index=7,_Mz3QyH3K18,2021-08-10T16:00:11Z,6
8,Sing For The Void [Original Song] | Lyric Video,https://www.youtube.com/watch?v=80ezKLZMlhs&list=PLFBWgqupDy_tz1Rft9V8w2WivCck2wJOO&index=8,80ezKLZMlhs,2021-08-23T16:00:12Z,7
9,Bittersweet [Original Song] | Lyric Video,https://www.youtube.com/watch?v=jeLQoGnbTsY&list=PLFBWgqupDy_tz1Rft9V8w2WivCck2wJOO&index=9,jeLQoGnbTsY,2024-07-07T22:00:06Z,8
10,Swinging Under The Stars [Original Song] | Lyric Video,https://www.youtube.com/watch?v=mpph5nAfy2k&list=PLFBWgqupDy_tz1Rft9V8w2WivCck2wJOO&index=10,mpph5nAfy2k,2022-01-12T17:00:11Z,9
11,What's It Like Having a Hometown? (Poem Version) [Original Song] | Lyric Video,https://www.youtube.com/watch?v=Rke1WSUWphk&list=PLFBWgqupDy_tz1Rft9V8w2WivCck2wJOO&index=11,Rke1WSUWphk,2022-01-26T17:00:12Z,10
