#,title,videoUrl,videoId,publishedAt,position
1,Pluh!,https://www.youtube.com/watch?v=rLSSZgD7iMk&list=PLFBWgqupDy_v7mLDcOVgpvzEAiMGlteMB&index=1,rLSSZgD7iMk,2024-07-25T10:03:33Z,0
2,Nuvfr - Blink,https://www.youtube.com/watch?v=-J8CHRSYrEY&list=PLFBWgqupDy_v7mLDcOVgpvzEAiMGlteMB&index=2,-J8CHRSYrEY,2024-08-10T18:33:34Z,1
3,Domalomn - Urgently Jammin' (Sir Meow Remix),https://www.youtube.com/watch?v=kwc9is7mEUU&list=PLFBWgqupDy_v7mLDcOVgpvzEAiMGlteMB&index=3,kwc9is7mEUU,2022-01-03T14:28:26Z,2
4,ivycomb - Sparkle (Official Audio),https://www.youtube.com/watch?v=TlDL2G31QLQ&list=PLFBWgqupDy_v7mLDcOVgpvzEAiMGlteMB&index=4,TlDL2G31QLQ,2022-01-05T01:30:18Z,3
5,Studi01 - Best Friend (Official Music Video),https://www.youtube.com/watch?v=rgYjdM7MvOw&list=PLFBWgqupDy_v7mLDcOVgpvzEAiMGlteMB&index=5,rgYjdM7MvOw,2023-10-22T19:00:21Z,4
6,Mckyyy - Roi (instrumental slowed),https://www.youtube.com/watch?v=gU_ePJKeQ68&list=PLFBWgqupDy_v7mLDcOVgpvzEAiMGlteMB&index=6,gU_ePJKeQ68,2024-10-06T15:17:53Z,5
7,ODESZA - A Moment Apart - Official Audio,https://www.youtube.com/watch?v=xarC5jAiO7w&list=PLFBWgqupDy_v7mLDcOVgpvzEAiMGlteMB&index=7,xarC5jAiO7w,2017-09-08T16:04:40Z,6
8,Coyote Theory - This Side of Paradise (Lyric Video),https://www.youtube.com/watch?v=FHT3xNYZU8o&list=PLFBWgqupDy_v7mLDcOVgpvzEAiMGlteMB&index=8,FHT3xNYZU8o,2021-01-06T05:00:01Z,7
9,Villain,https://www.youtube.com/watch?v=rA-GK4M_atE&list=PLFBWgqupDy_v7mLDcOVgpvzEAiMGlteMB&index=9,rA-GK4M_atE,2023-02-18T13:41:57Z,8
10,Avicii - Waiting For Love,https://www.youtube.com/watch?v=cHHLHGNpCSA&list=PLFBWgqupDy_v7mLDcOVgpvzEAiMGlteMB&index=10,cHHLHGNpCSA,2015-06-26T07:00:00Z,9
11,Keane - Somewhere Only We Know (Official Music Video),https://www.youtube.com/watch?v=Oextk-If8HQ&list=PLFBWgqupDy_v7mLDcOVgpvzEAiMGlteMB&index=11,Oextk-If8HQ,2009-10-09T03:16:18Z,10
12,ivycomb - #FLUTEGANG (Official Audio),https://www.youtube.com/watch?v=r8aqc6AGJKM&list=PLFBWgqupDy_v7mLDcOVgpvzEAiMGlteMB&index=12,r8aqc6AGJKM,2022-03-10T03:47:22Z,11
