#,title,videoUrl,videoId,publishedAt,position
1,i don't wanna - snuffles,https://www.youtube.com/watch?v=A02vT-I4Dds&list=PLFBWgqupDy_vQMudvuJUphRGPEPxWTl2D&index=1,A02vT-I4Dds,2024-10-18T04:00:07Z,0
2,Keep on With It - snuffles,https://www.youtube.com/watch?v=kg3ed9NRQJo&list=PLFBWgqupDy_vQMudvuJUphRGPEPxWTl2D&index=2,kg3ed9NRQJo,2021-11-01T00:55:59Z,1
3,Just a Little Better - snuffles,https://www.youtube.com/watch?v=pi65NU1Qhzs&list=PLFBWgqupDy_vQMudvuJUphRGPEPxWTl2D&index=3,pi65NU1Qhzs,2023-05-01T04:01:00Z,2
4,THIS THOUGHT - Frizk & snuffles,https://www.youtube.com/watch?v=tc8IhElRJkA&list=PLFBWgqupDy_vQMudvuJUphRGPEPxWTl2D&index=4,tc8IhElRJkA,2024-08-01T04:00:41Z,3
5,too late 2 - snuffles,https://www.youtube.com/watch?v=njowoGhmw6E&list=PLFBWgqupDy_vQMudvuJUphRGPEPxWTl2D&index=5,njowoGhmw6E,2022-10-01T04:00:31Z,4
6,Won't Go - snuffles,https://www.youtube.com/watch?v=UG1HUOyL9IA&list=PLFBWgqupDy_vQMudvuJUphRGPEPxWTl2D&index=6,UG1HUOyL9IA,2021-11-01T04:00:15Z,5
7,ivycomb - Sparkle (Official Audio),https://www.youtube.com/watch?v=TlDL2G31QLQ&list=PLFBWgqupDy_vQMudvuJUphRGPEPxWTl2D&index=7,TlDL2G31QLQ,2022-01-05T01:30:18Z,6
8,But Here I Am - snuffles,https://www.youtube.com/watch?v=WhCfDly6a4Y&list=PLFBWgqupDy_vQMudvuJUphRGPEPxWTl2D&index=8,WhCfDly6a4Y,2023-05-01T04:02:00Z,7
9,Buttered Toast [Original Song] | Lyric Video,https://www.youtube.com/watch?v=e4Lbhd8a4fA&list=PLFBWgqupDy_vQMudvuJUphRGPEPxWTl2D&index=9,e4Lbhd8a4fA,2021-07-14T16:00:12Z,8
10,READY OR NOT? - snuffles,https://www.youtube.com/watch?v=-cIQJ4v_fgk&list=PLFBWgqupDy_vQMudvuJUphRGPEPxWTl2D&index=10,-cIQJ4v_fgk,2023-12-18T05:00:00Z,9
11,LUMINESCENCE,https://www.youtube.com/watch?v=3Nhn-a2gSlE&list=PLFBWgqupDy_vQMudvuJUphRGPEPxWTl2D&index=11,3Nhn-a2gSlE,2024-01-20T01:00:08Z,10
12,a cat walks into a bar,https://www.youtube.com/watch?v=zW9TGWsGfDg&list=PLFBWgqupDy_vQMudvuJUphRGPEPxWTl2D&index=12,zW9TGWsGfDg,2024-09-25T09:17:02Z,11
