#,title,videoUrl,videoId,publishedAt,position
1,park walk,https://www.youtube.com/watch?v=Zm5o00sgddI&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=1,Zm5o00sgddI,2023-10-12T10:03:22Z,0
2,Vicetone - Barcelona Nights (Official Lyric Video),https://www.youtube.com/watch?v=OrXO1iUi-r8&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=2,OrXO1iUi-r8,2022-07-06T17:00:15Z,1
3,Egzod & Maestro Chives - Royalty (ft. Neoni) [Official Lyric Video],https://www.youtube.com/watch?v=lW9ep22YmlM&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=3,lW9ep22YmlM,2021-04-22T17:13:50Z,2
4,MISSIO - Twisted (Official Video),https://www.youtube.com/watch?v=Dp70dN6hkNM&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=4,Dp70dN6hkNM,2018-10-04T04:00:00Z,3
5,Welshly Arms - Indestructible (Audio),https://www.youtube.com/watch?v=RKH7Xt65e_w&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=5,RKH7Xt65e_w,2018-04-26T23:00:02Z,4
6,udkm,https://www.youtube.com/watch?v=fgKe5hWM_0s&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=6,fgKe5hWM_0s,2021-04-30T12:18:53Z,5
7,Set Fire to the Rain,https://www.youtube.com/watch?v=uJdu4Lfy8aI&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=7,uJdu4Lfy8aI,2020-12-15T14:27:21Z,6
8,TheFatRat & RIELL - Hiding In The Blue [Chapter 1],https://www.youtube.com/watch?v=aQzUaZGDJ80&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=8,aQzUaZGDJ80,2021-07-09T14:00:12Z,7
9,i don't wanna - snuffles,https://www.youtube.com/watch?v=A02vT-I4Dds&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=9,A02vT-I4Dds,2024-10-18T04:00:07Z,8
10,1.0_1-hellofriend.wav,https://www.youtube.com/watch?v=ef_WrLc5I2Y&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=10,ef_WrLc5I2Y,2020-04-04T21:38:28Z,9
11,Swinging Under The Stars [Original Song] | Lyric Video,https://www.youtube.com/watch?v=mpph5nAfy2k&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=11,mpph5nAfy2k,2022-01-12T17:00:11Z,10
12,7teen,https://www.youtube.com/watch?v=q7GOk-cE3mY&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=12,q7GOk-cE3mY,2021-04-30T12:18:52Z,11
13,THIS THOUGHT - Frizk & snuffles,https://www.youtube.com/watch?v=tc8IhElRJkA&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=13,tc8IhElRJkA,2024-08-01T04:00:41Z,12
14,Roadmap to Full-Stack Developer,https://www.youtube.com/watch?v=Y-sCMxUTAS4&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=14,Y-sCMxUTAS4,2024-05-05T07:56:33Z,13
15,The Score - Comeback (Audio),https://www.youtube.com/watch?v=e0AUz9AdxNA&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=15,e0AUz9AdxNA,2020-08-28T04:00:09Z,14
16,The Score - Good To be Alive (Official Visualizer),https://www.youtube.com/watch?v=yKBtyKRkgbM&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=16,yKBtyKRkgbM,2021-09-24T05:52:00Z,15
17,Ruelle - Bad Dream [Official Audio],https://www.youtube.com/watch?v=4NmX5vcNK6E&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=17,4NmX5vcNK6E,2016-08-16T23:59:07Z,16
18,"Oh The Larceny - ""Another Level"" (Official Lyric Video)",https://www.youtube.com/watch?v=R71k6bwNgIE&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=18,R71k6bwNgIE,2019-05-31T17:00:05Z,17
19,The Score - Alarm (Official Lyric Video),https://www.youtube.com/watch?v=eQhbeUq_NOo&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=19,eQhbeUq_NOo,2021-10-22T04:00:16Z,18
20,LIVE LIKE LEGENDS,https://www.youtube.com/watch?v=UqX6GZ2nz88&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=20,UqX6GZ2nz88,2016-01-16T18:08:40Z,19
21,Ready Set Let's Go,https://www.youtube.com/watch?v=50stcfV5fmA&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=21,50stcfV5fmA,2021-09-29T14:18:40Z,20
22,Poe the Passenger - HOLOGRAM [Official Lyric Video] (Visualizer),https://www.youtube.com/watch?v=TftppKLlvxQ&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=22,TftppKLlvxQ,2023-02-18T01:00:22Z,21
23,Imagine Dragons - I'm So Sorry (Official Lyric Video),https://www.youtube.com/watch?v=78El9Q-_WzU&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=23,78El9Q-_WzU,2025-02-21T05:00:06Z,22
24,The Score - Top Of The World (Official Lyric Video),https://www.youtube.com/watch?v=sjLRh-QPM9c&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=24,sjLRh-QPM9c,2021-08-20T04:00:01Z,23
25,The Score - Victorious (Official Lyric Video),https://www.youtube.com/watch?v=Kj5Vzg21WnI&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=25,Kj5Vzg21WnI,2021-06-25T07:00:07Z,24
26,Outskrts - LET'S DO THIS (Official Audio),https://www.youtube.com/watch?v=RdZKkzp5RM4&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=26,RdZKkzp5RM4,2022-05-21T02:26:49Z,25
27,Wish You the Worst,https://www.youtube.com/watch?v=-UybJnQ2hIw&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=27,-UybJnQ2hIw,2024-05-01T20:28:49Z,26
28,The Score - Gallows (Audio) ft. Jamie N Commons,https://www.youtube.com/watch?v=3wZllhP3FZo&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=28,3wZllhP3FZo,2020-08-28T04:00:02Z,27
29,Lemaitre - Closer (UK Version) ft. Jennie A.,https://www.youtube.com/watch?v=eS_korRhTDk&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=29,eS_korRhTDk,2016-04-26T03:59:01Z,28
30,Tom Walker - Leave a Light On (Official Video),https://www.youtube.com/watch?v=nqnkBdExjws&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=30,nqnkBdExjws,2017-10-13T07:00:04Z,29
31,The Score - Breakout (Audio),https://www.youtube.com/watch?v=PE75F4ynC_U&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=31,PE75F4ynC_U,2020-08-28T04:00:04Z,30
32,Monster,https://www.youtube.com/watch?v=cjfWeaPkNoI&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=32,cjfWeaPkNoI,2024-10-16T14:19:18Z,31
33,Imagine Dragons - Whatever It Takes (Official Music Video),https://www.youtube.com/watch?v=gOsM-DYAEhY&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=33,gOsM-DYAEhY,2017-10-12T16:00:06Z,32
34,The Score - Can't Stop Me Now (Lyric Video),https://www.youtube.com/watch?v=ZRRt8EyYNvg&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=34,ZRRt8EyYNvg,2019-08-09T04:00:07Z,33
35,Sleeping Wolf - Freaks Like Us - Official Lyric Video,https://www.youtube.com/watch?v=zh-4r6bmiPI&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=35,zh-4r6bmiPI,2018-10-31T06:58:37Z,34
36,Imagine Dragons - Roots,https://www.youtube.com/watch?v=PscXGpsF3dY&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=36,PscXGpsF3dY,2015-09-29T20:00:01Z,35
37,The Score - Revolution (Official Audio),https://www.youtube.com/watch?v=b99r48grKGI&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=37,b99r48grKGI,2017-02-03T05:00:01Z,36
38,The Score - Stay (Lyric Video),https://www.youtube.com/watch?v=yRz6LBiyMWQ&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=38,yRz6LBiyMWQ,2019-06-10T04:00:04Z,37
39,The Score - Money Run Low (Official Audio),https://www.youtube.com/watch?v=facc6KUJYcM&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=39,facc6KUJYcM,2017-03-02T05:00:02Z,38
40,The Score - Best Part,https://www.youtube.com/watch?v=GXDNMinUPXc&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=40,GXDNMinUPXc,2020-04-24T04:00:11Z,39
41,Going Home,https://www.youtube.com/watch?v=q9eYpRB9zok&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=41,q9eYpRB9zok,2018-07-29T00:31:00Z,40
42,The Score - The Heat (Official Audio),https://www.youtube.com/watch?v=InAaCKqUmjE&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=42,InAaCKqUmjE,2017-04-03T04:00:02Z,41
43,The Score - Deep End (Official Lyric Video),https://www.youtube.com/watch?v=rwvs9jUPMps&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=43,rwvs9jUPMps,2023-12-01T05:00:44Z,42
44,The Score - Who I Am (Official Audio),https://www.youtube.com/watch?v=MwtvktjEuOM&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=44,MwtvktjEuOM,2017-10-13T04:00:02Z,43
45,BAD BUNNY - MONACO (Official Video) | nadie sabe lo que va a pasar mañana,https://www.youtube.com/watch?v=_PJvpq8uOZM&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=45,_PJvpq8uOZM,2023-10-13T16:00:09Z,44
46,Ocean of Memories,https://www.youtube.com/watch?v=0WykZs55UjA&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=46,0WykZs55UjA,2023-09-27T20:03:55Z,45
47,WORLD RESET,https://www.youtube.com/watch?v=uAYE2tqkISA&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=47,uAYE2tqkISA,2024-05-24T12:09:03Z,46
48,TICKING (SLOWED Version),https://www.youtube.com/watch?v=6T72Aq2IUXM&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=48,6T72Aq2IUXM,2023-07-12T22:58:56Z,47
49,The Score - Stronger,https://www.youtube.com/watch?v=cNld-AHw-Wg&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=49,cNld-AHw-Wg,2018-10-05T04:00:03Z,48
50,ivycomb - Soul Astray (Official Lyric Video),https://www.youtube.com/watch?v=Uq4Jees1sik&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=50,Uq4Jees1sik,2021-09-23T02:00:14Z,49
51,ILKAY SENCAN & DYNORO - ROCKSTAR ♛,https://www.youtube.com/watch?v=sBugnmrF3G8&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=51,sBugnmrF3G8,2017-12-27T16:21:30Z,50
52,TheFatRat - Rise Up,https://www.youtube.com/watch?v=j-2DGYNXRx0&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=52,j-2DGYNXRx0,2019-10-25T14:00:12Z,51
53,The Score - In My Blood (Official Visualizer),https://www.youtube.com/watch?v=8Zc4EjdYHjk&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=53,8Zc4EjdYHjk,2022-03-18T04:00:34Z,52
54,Lemaitre - Higher (feat. Maty Noyes),https://www.youtube.com/watch?v=_-k3YtOu9IA&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=54,_-k3YtOu9IA,2017-05-20T15:00:18Z,53
55,"The Score, 2WEI - Down With The Wolves (Lyric Video)",https://www.youtube.com/watch?v=uhXW7eqF_SQ&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=55,uhXW7eqF_SQ,2024-03-22T04:00:38Z,54
56,The Score - Don't Need A Hero (Official Lyric Video),https://www.youtube.com/watch?v=ruw2woPI-fg&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=56,ruw2woPI-fg,2024-07-12T04:00:38Z,55
57,The Score - Survivor (Lyric Video),https://www.youtube.com/watch?v=RyBDRS39G_w&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=57,RyBDRS39G_w,2024-01-26T05:00:15Z,56
58,Final Space Official Soundtrack | When the Night is Long (feat. Shelby Merry) | WaterTower,https://www.youtube.com/watch?v=pwauF7_kWA4&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=58,pwauF7_kWA4,2020-08-11T06:56:19Z,57
59,The Score - Bulletproof (Audio) ft. XYLØ,https://www.youtube.com/watch?v=BH8pv4Iht8g&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=59,BH8pv4Iht8g,2019-12-13T05:00:05Z,58
60,The Score - Big Dreams ft. FITZ (Official Lyric Video),https://www.youtube.com/watch?v=w1TVH5xsMl8&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=60,w1TVH5xsMl8,2021-12-10T05:00:32Z,59
61,Short Circuit,https://www.youtube.com/watch?v=nAy026C6MCk&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=61,nAy026C6MCk,2016-08-01T11:38:02Z,60
62,Anonymous,https://www.youtube.com/watch?v=PALvUUJW57k&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=62,PALvUUJW57k,2016-07-16T07:33:24Z,61
63,updog - taking a stand,https://www.youtube.com/watch?v=bCLOleFepWA&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=63,bCLOleFepWA,2022-03-09T16:27:02Z,62
64,Imagine Dragons x J.I.D - Enemy (from the series Arcane League of Legends),https://www.youtube.com/watch?v=D9G1VOjN_84&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=64,D9G1VOjN_84,2021-10-28T11:00:09Z,63
65,Welshly Arms - Legendary,https://www.youtube.com/watch?v=Z2CZn966cUg&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=65,Z2CZn966cUg,2017-06-26T10:21:43Z,64
66,Kygo - Stay ft. Maty Noyes (Official Lyric Video),https://www.youtube.com/watch?v=WUG2guLUtuo&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=66,WUG2guLUtuo,2015-12-04T08:00:01Z,65
67,twenty one pilots: Goner,https://www.youtube.com/watch?v=YgmgFLV0fp4&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=67,YgmgFLV0fp4,2012-02-11T18:48:17Z,66
68,XXXTENTACION - Jocelyn Flores (Audio),https://www.youtube.com/watch?v=FAucVNRx_mU&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=68,FAucVNRx_mU,2017-08-25T16:38:44Z,67
69,The Score - Power (Official),https://www.youtube.com/watch?v=6sl7rTwPJuo&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=69,6sl7rTwPJuo,2024-05-17T04:00:10Z,68
70,"CULT OF THE LAMB SONG ""Violence of the Lamb"" (feat. @Freeced, @FinnMK & @OxygenBeats)",https://www.youtube.com/watch?v=glNgrPk9jOY&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=70,glNgrPk9jOY,2023-09-29T14:00:27Z,69
71,green to blue (slowed + reverbed),https://www.youtube.com/watch?v=B5u_DV1_NM0&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=71,B5u_DV1_NM0,2022-10-05T10:08:16Z,70
72,So Let Me Go,https://www.youtube.com/watch?v=BS5AdzHMrv0&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=72,BS5AdzHMrv0,2023-11-11T10:03:24Z,71
73,Galaxy,https://www.youtube.com/watch?v=ZGIMoV4RPkQ&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=73,ZGIMoV4RPkQ,2023-02-23T10:02:33Z,72
74,Verplex - On My Way,https://www.youtube.com/watch?v=Hh3DltMkTeU&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=74,Hh3DltMkTeU,2022-03-18T07:00:08Z,73
75,Liquid Gold,https://www.youtube.com/watch?v=hcr5FREFt30&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=75,hcr5FREFt30,2023-08-04T10:00:40Z,74
76,Just a Little Better - snuffles,https://www.youtube.com/watch?v=pi65NU1Qhzs&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=76,pi65NU1Qhzs,2023-05-01T04:01:00Z,75
77,too late - snuffles,https://www.youtube.com/watch?v=pEtcyFBysAg&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=77,pEtcyFBysAg,2022-01-06T01:01:43Z,76
78,a cat walks into a bar,https://www.youtube.com/watch?v=zW9TGWsGfDg&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=78,zW9TGWsGfDg,2024-09-25T09:17:02Z,77
79,Verplex - Bean,https://www.youtube.com/watch?v=S2xcpKl0k98&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=79,S2xcpKl0k98,2021-12-02T20:00:10Z,78
80,NOTORIOUS,https://www.youtube.com/watch?v=Mvik9CTsNrA&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=80,Mvik9CTsNrA,2023-10-03T17:00:06Z,79
81,Seven Run - snuffles,https://www.youtube.com/watch?v=vTc0eldSVkA&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=81,vTc0eldSVkA,2022-06-01T04:00:30Z,80
82,Verplex - My Future,https://www.youtube.com/watch?v=yKsOFf4F3wg&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=82,yKsOFf4F3wg,2022-09-12T06:40:39Z,81
83,It's Normal,https://www.youtube.com/watch?v=cze5GFVR9O0&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=83,cze5GFVR9O0,2020-09-27T19:30:01Z,82
84,Verplex - Never Too Late,https://www.youtube.com/watch?v=qREZFPu543k&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=84,qREZFPu543k,2021-05-20T19:00:14Z,83
85,"Cosmic Critters Song - ""TOKYO"" by ivycomb [MRSHLMusic Remix]",https://www.youtube.com/watch?v=Y-UPgQOt874&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=85,Y-UPgQOt874,2022-11-06T05:00:10Z,84
86,SAHARA,https://www.youtube.com/watch?v=VQywoIhcNC8&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=86,VQywoIhcNC8,2024-02-23T18:00:08Z,85
87,Verplex - Green N Purple,https://www.youtube.com/watch?v=z1IdaICQ8OY&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=87,z1IdaICQ8OY,2022-05-07T21:21:14Z,86
88,Fishcracks - Start Again,https://www.youtube.com/watch?v=l5UDuAAoZrk&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=88,l5UDuAAoZrk,2022-10-21T21:00:10Z,87
89,[TW] Top 10 Things To Do Before You Die (Censored),https://www.youtube.com/watch?v=Wiikal1slEI&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=89,Wiikal1slEI,2022-04-07T14:38:56Z,88
90,kennyoung & YonKaGor - Trash Talkin',https://www.youtube.com/watch?v=ncIEgkCN_VM&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=90,ncIEgkCN_VM,2023-04-25T14:30:07Z,89
91,You'll Be Gone,https://www.youtube.com/watch?v=IZyz9Nsaio0&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=91,IZyz9Nsaio0,2021-01-17T21:00:10Z,90
92,Memory Merge,https://www.youtube.com/watch?v=lgzCxqQUU5g&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=92,lgzCxqQUU5g,2024-05-20T15:00:06Z,91
93,Verplex - BetaEtaDelota,https://www.youtube.com/watch?v=X0xlwmmChss&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=93,X0xlwmmChss,2018-06-07T08:07:01Z,92
94,Polaroid,https://www.youtube.com/watch?v=WbNW7QRe3gg&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=94,WbNW7QRe3gg,2023-02-22T06:40:05Z,93
95,You're Just Like Pop Music (Instrumental),https://www.youtube.com/watch?v=lp_Gf7E6y44&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=95,lp_Gf7E6y44,2021-09-28T10:02:10Z,94
96,Sing For The Void [Original Song] | Lyric Video,https://www.youtube.com/watch?v=80ezKLZMlhs&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=96,80ezKLZMlhs,2021-08-23T16:00:12Z,95
97,[Official Release] Ardolf - (execute.),https://www.youtube.com/watch?v=LJrTObZjVZg&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=97,LJrTObZjVZg,2023-05-06T14:00:10Z,96
98,ANTIHUMAN,https://www.youtube.com/watch?v=jtnoDnOo_nE&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=98,jtnoDnOo_nE,2023-08-26T00:30:08Z,97
99,"[Deluxe] Sweet Little Lies - ivycomb, Shwabadi in Beatstar (Original by bülow)",https://www.youtube.com/watch?v=dTq5_sSFQ4g&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=99,dTq5_sSFQ4g,2024-02-01T17:13:30Z,98
100,Silly Plans ~ Revisit,https://www.youtube.com/watch?v=MeVua6hDt8k&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=100,MeVua6hDt8k,2023-12-05T16:00:07Z,99
101,No Eternity (Alternate Mix),https://www.youtube.com/watch?v=-iWQ_Rcr2og&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=101,-iWQ_Rcr2og,2024-03-25T10:00:00Z,100
102,Fratricide,https://www.youtube.com/watch?v=txeHnnCj9Ow&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=102,txeHnnCj9Ow,2024-04-24T18:01:17Z,101
103,Styx - Mr. Roboto (Official Video),https://www.youtube.com/watch?v=uc6f_2nPSX8&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=103,uc6f_2nPSX8,2017-08-10T18:50:52Z,102
104,SmileMoonZ & RISK - Nova (RISK VIP),https://www.youtube.com/watch?v=ob7qOtS5sZ8&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=104,ob7qOtS5sZ8,2024-06-17T18:56:16Z,103
105,DATA_REJECT,https://www.youtube.com/watch?v=eJLbw0Oq2S8&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=105,eJLbw0Oq2S8,2024-06-03T22:00:06Z,104
106,The Score - Head Up (Official Lyric Video),https://www.youtube.com/watch?v=zslGmkDnejQ&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=106,zslGmkDnejQ,2021-07-23T04:07:18Z,105
107,The Score - On And On (Official Audio),https://www.youtube.com/watch?v=I5wHdUT2a_s&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=107,I5wHdUT2a_s,2016-03-01T08:00:00Z,106
108,The Score - Enemies (Official Lyric Video),https://www.youtube.com/watch?v=LAjiTn5t78U&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=108,LAjiTn5t78U,2022-01-14T05:00:07Z,107
109,The Score - Fighter (Official Visualizer),https://www.youtube.com/watch?v=PpjdTwQwWWY&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=109,PpjdTwQwWWY,2022-03-18T04:00:26Z,108
110,Coldplay - Viva La Vida (Official Video),https://www.youtube.com/watch?v=dvgZkm1xWPE&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=110,dvgZkm1xWPE,2008-08-04T09:36:03Z,109
111,Lost Sky - Lost | Trap | NCS - Copyright Free Music,https://www.youtube.com/watch?v=h-nHdqC3pPs&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=111,h-nHdqC3pPs,2017-10-26T16:07:15Z,110
112,"Cult of the Lamb Song - ""Fool's Gold"" by ivycomb",https://www.youtube.com/watch?v=r37UXmf4E3s&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=112,r37UXmf4E3s,2023-04-06T17:00:11Z,111
113,too late 2 - snuffles,https://www.youtube.com/watch?v=njowoGhmw6E&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=113,njowoGhmw6E,2022-10-01T04:00:31Z,112
114,SPIDER BITES,https://www.youtube.com/watch?v=TNoKlL90cCo&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=114,TNoKlL90cCo,2023-11-30T18:00:07Z,113
115,Fallacy,https://www.youtube.com/watch?v=2jPmJShS4jY&list=PLFBWgqupDy_scez7w-XB9QHQF3mgAhH3T&index=115,2jPmJShS4jY,2022-11-05T15:00:07Z,114
