#,title,videoUrl,videoId,publishedAt,position
1,Rain,https://www.youtube.com/watch?v=Gf02GVdI7D0&list=PLFBWgqupDy_vQ8ZdUZIU8ZiMM7dYUQpsC&index=1,Gf02GVdI7D0,2024-07-14T00:00:07Z,0
2,park walk,https://www.youtube.com/watch?v=Zm5o00sgddI&list=PLFBWgqupDy_vQ8ZdUZIU8ZiMM7dYUQpsC&index=2,Zm5o00sgddI,2023-10-12T10:03:22Z,1
3,green to blue (slowed + reverbed),https://www.youtube.com/watch?v=B5u_DV1_NM0&list=PLFBWgqupDy_vQ8ZdUZIU8ZiMM7dYUQpsC&index=3,B5u_DV1_NM0,2022-10-05T10:08:16Z,2
4,Ocean of Memories,https://www.youtube.com/watch?v=0WykZs55UjA&list=PLFBWgqupDy_vQ8ZdUZIU8ZiMM7dYUQpsC&index=4,0WykZs55UjA,2023-09-27T20:03:55Z,3
5,øneheart x reidenshi - snowfall,https://www.youtube.com/watch?v=LlN8MPS7KQs&list=PLFBWgqupDy_vQ8ZdUZIU8ZiMM7dYUQpsC&index=5,LlN8MPS7KQs,2022-01-14T18:29:35Z,4
6,Daydream,https://www.youtube.com/watch?v=uQoHmfi8FEw&list=PLFBWgqupDy_vQ8ZdUZIU8ZiMM7dYUQpsC&index=6,uQoHmfi8FEw,2022-03-17T15:33:03Z,5
7,Nuvfr - Blink,https://www.youtube.com/watch?v=-J8CHRSYrEY&list=PLFBWgqupDy_vQ8ZdUZIU8ZiMM7dYUQpsC&index=7,-J8CHRSYrEY,2024-08-10T18:33:34Z,6
8,3 am walk (Slowed & Reverb Version),https://www.youtube.com/watch?v=RCj__-QS_ko&list=PLFBWgqupDy_vQ8ZdUZIU8ZiMM7dYUQpsC&index=8,RCj__-QS_ko,2022-11-10T10:05:37Z,7
9,Keep on With It - snuffles,https://www.youtube.com/watch?v=kg3ed9NRQJo&list=PLFBWgqupDy_vQ8ZdUZIU8ZiMM7dYUQpsC&index=9,kg3ed9NRQJo,2021-11-01T00:55:59Z,8
10,Alec Benjamin - Let Me Down Slowly [Official Music Video],https://www.youtube.com/watch?v=50VNCymT-Cs&list=PLFBWgqupDy_vQ8ZdUZIU8ZiMM7dYUQpsC&index=10,50VNCymT-Cs,2018-06-04T19:00:23Z,9
11,MISSIO - Bottom of the Deep Blue Sea (Official Video),https://www.youtube.com/watch?v=CFEBriOa1x0&list=PLFBWgqupDy_vQ8ZdUZIU8ZiMM7dYUQpsC&index=11,CFEBriOa1x0,2017-09-29T07:00:00Z,10
12,David Kushner - Daylight (Official Music Video),https://www.youtube.com/watch?v=MoN9ql6Yymw&list=PLFBWgqupDy_vQ8ZdUZIU8ZiMM7dYUQpsC&index=12,MoN9ql6Yymw,2023-04-14T04:00:08Z,11
13,Ruelle - Bad Dream [Official Audio],https://www.youtube.com/watch?v=4NmX5vcNK6E&list=PLFBWgqupDy_vQ8ZdUZIU8ZiMM7dYUQpsC&index=13,4NmX5vcNK6E,2016-08-16T23:59:07Z,12
14,THIS THOUGHT - Frizk & snuffles,https://www.youtube.com/watch?v=tc8IhElRJkA&list=PLFBWgqupDy_vQ8ZdUZIU8ZiMM7dYUQpsC&index=14,tc8IhElRJkA,2024-08-01T04:00:41Z,13
15,Ruelle - Madness,https://www.youtube.com/watch?v=BnSkt6V3qF0&list=PLFBWgqupDy_vQ8ZdUZIU8ZiMM7dYUQpsC&index=15,BnSkt6V3qF0,2016-12-22T20:05:49Z,14
16,Set Fire to the Rain,https://www.youtube.com/watch?v=uJdu4Lfy8aI&list=PLFBWgqupDy_vQ8ZdUZIU8ZiMM7dYUQpsC&index=16,uJdu4Lfy8aI,2020-12-15T14:27:21Z,15
17,Imagine Dragons - Bad Liar,https://www.youtube.com/watch?v=I-QfPUz1es8&list=PLFBWgqupDy_vQ8ZdUZIU8ZiMM7dYUQpsC&index=17,I-QfPUz1es8,2019-01-24T15:58:49Z,16
18,UNSECRET - LET YOU GO  (FT. MATTHEW PERRYMAN JONES) [OFFICIAL AUDIO],https://www.youtube.com/watch?v=SidXRGeY138&list=PLFBWgqupDy_vQ8ZdUZIU8ZiMM7dYUQpsC&index=18,SidXRGeY138,2019-02-01T13:47:57Z,17
19,Ruelle - Empires [Official Audio],https://www.youtube.com/watch?v=DjkJ7SUe-4o&list=PLFBWgqupDy_vQ8ZdUZIU8ZiMM7dYUQpsC&index=19,DjkJ7SUe-4o,2018-08-03T04:50:37Z,18
20,ivycomb - Sparkle (Official Audio),https://www.youtube.com/watch?v=TlDL2G31QLQ&list=PLFBWgqupDy_vQ8ZdUZIU8ZiMM7dYUQpsC&index=20,TlDL2G31QLQ,2022-01-05T01:30:18Z,19
21,"Besomorph, Arcando, Neoni - Army (Lyrics)",https://www.youtube.com/watch?v=nxUw6B05pkc&list=PLFBWgqupDy_vQ8ZdUZIU8ZiMM7dYUQpsC&index=21,nxUw6B05pkc,2020-04-16T21:06:16Z,20
22,ODESZA - A Moment Apart - Official Audio,https://www.youtube.com/watch?v=xarC5jAiO7w&list=PLFBWgqupDy_vQ8ZdUZIU8ZiMM7dYUQpsC&index=22,xarC5jAiO7w,2017-09-08T16:04:40Z,21
23,Coyote Theory - This Side of Paradise (Lyric Video),https://www.youtube.com/watch?v=FHT3xNYZU8o&list=PLFBWgqupDy_vQ8ZdUZIU8ZiMM7dYUQpsC&index=23,FHT3xNYZU8o,2021-01-06T05:00:01Z,22
24,coffee date,https://www.youtube.com/watch?v=fn-_ChY9YfA&list=PLFBWgqupDy_vQ8ZdUZIU8ZiMM7dYUQpsC&index=24,fn-_ChY9YfA,2022-05-31T05:47:54Z,23
25,Ludovico Einaudi - Experience (Official Visualizer),https://www.youtube.com/watch?v=1e9B31FLT-s&list=PLFBWgqupDy_vQ8ZdUZIU8ZiMM7dYUQpsC&index=25,1e9B31FLT-s,2021-04-12T23:00:01Z,24
26,Teddy Swims - Lose Control (The Village Sessions),https://www.youtube.com/watch?v=9gWIIIr2Asw&list=PLFBWgqupDy_vQ8ZdUZIU8ZiMM7dYUQpsC&index=26,9gWIIIr2Asw,2024-08-23T04:00:06Z,25
27,give me more just rawer,https://www.youtube.com/watch?v=wOtpAy09QfI&list=PLFBWgqupDy_vQ8ZdUZIU8ZiMM7dYUQpsC&index=27,wOtpAy09QfI,2025-06-16T10:35:01Z,26
28,My Little Monster,https://www.youtube.com/watch?v=Md7W5grSVNE&list=PLFBWgqupDy_vQ8ZdUZIU8ZiMM7dYUQpsC&index=28,Md7W5grSVNE,2025-04-02T12:03:32Z,27
29,Love my fursuit but what about me,https://www.youtube.com/watch?v=bV1p8sP6AZM&list=PLFBWgqupDy_vQ8ZdUZIU8ZiMM7dYUQpsC&index=29,bV1p8sP6AZM,2025-04-02T12:03:32Z,28
30,After Dark,https://www.youtube.com/watch?v=Cl5Vkd4N03Q&list=PLFBWgqupDy_vQ8ZdUZIU8ZiMM7dYUQpsC&index=30,Cl5Vkd4N03Q,2016-11-19T23:41:28Z,29
