#,title,videoUrl,videoId,publishedAt,position
1,i don't wanna - snuffles,https://www.youtube.com/watch?v=A02vT-I4Dds&list=PLFBWgqupDy_szyCWHmXapWz21O81OAPxA&index=1,A02vT-I4Dds,2024-10-18T04:00:07Z,0
2,Keep on With It - snuffles,https://www.youtube.com/watch?v=kg3ed9NRQJo&list=PLFBWgqupDy_szyCWHmXapWz21O81OAPxA&index=2,kg3ed9NRQJo,2021-11-01T00:55:59Z,1
3,Ocean of Memories,https://www.youtube.com/watch?v=0WykZs55UjA&list=PLFBWgqupDy_szyCWHmXapWz21O81OAPxA&index=3,0WykZs55UjA,2023-09-27T20:03:55Z,2
4,Rain,https://www.youtube.com/watch?v=Gf02GVdI7D0&list=PLFBWgqupDy_szyCWHmXapWz21O81OAPxA&index=4,Gf02GVdI7D0,2024-07-14T00:00:07Z,3
5,Nighthowls - Used Me Like A Drug (Official Lyrics Video),https://www.youtube.com/watch?v=h3VxW4jWGFw&list=PLFBWgqupDy_szyCWHmXapWz21O81OAPxA&index=5,h3VxW4jWGFw,2024-01-04T09:24:20Z,4
6,Letter to My Sister,https://www.youtube.com/watch?v=V7_5yolDFFU&list=PLFBWgqupDy_szyCWHmXapWz21O81OAPxA&index=6,V7_5yolDFFU,2024-02-20T10:01:32Z,5
7,Cathanol - Gullible Traveler,https://www.youtube.com/watch?v=hUU1lDo0MBM&list=PLFBWgqupDy_szyCWHmXapWz21O81OAPxA&index=7,hUU1lDo0MBM,2023-04-18T14:33:10Z,6
8,The Skies Were Clear That Day,https://www.youtube.com/watch?v=zcDTwm2BqG8&list=PLFBWgqupDy_szyCWHmXapWz21O81OAPxA&index=8,zcDTwm2BqG8,2023-04-17T17:54:06Z,7
9,Subwoofer Lullaby (Slowed),https://www.youtube.com/watch?v=40e1agSLHcw&list=PLFBWgqupDy_szyCWHmXapWz21O81OAPxA&index=9,40e1agSLHcw,2024-12-02T10:00:05Z,8
10,Won't Go - snuffles,https://www.youtube.com/watch?v=UG1HUOyL9IA&list=PLFBWgqupDy_szyCWHmXapWz21O81OAPxA&index=10,UG1HUOyL9IA,2021-11-01T04:00:15Z,9
11,green to blue (slowed + reverbed),https://www.youtube.com/watch?v=B5u_DV1_NM0&list=PLFBWgqupDy_szyCWHmXapWz21O81OAPxA&index=11,B5u_DV1_NM0,2022-10-05T10:08:16Z,10
12,øneheart x reidenshi - snowfall,https://www.youtube.com/watch?v=LlN8MPS7KQs&list=PLFBWgqupDy_szyCWHmXapWz21O81OAPxA&index=12,LlN8MPS7KQs,2022-01-14T18:29:35Z,11
13,Cathanol - Empress,https://www.youtube.com/watch?v=vKLQ1p4NmGc&list=PLFBWgqupDy_szyCWHmXapWz21O81OAPxA&index=13,vKLQ1p4NmGc,2023-06-18T22:20:57Z,12
14,øneheart - watching the stars,https://www.youtube.com/watch?v=C42iSY6Y9g0&list=PLFBWgqupDy_szyCWHmXapWz21O81OAPxA&index=14,C42iSY6Y9g0,2022-08-05T18:04:04Z,13
15,READY OR NOT? [chill version]  - snuffles,https://www.youtube.com/watch?v=WwFcHuIQFrw&list=PLFBWgqupDy_szyCWHmXapWz21O81OAPxA&index=15,WwFcHuIQFrw,2023-12-18T05:00:15Z,14
16,Portland,https://www.youtube.com/watch?v=9Kke_ZGfhG8&list=PLFBWgqupDy_szyCWHmXapWz21O81OAPxA&index=16,9Kke_ZGfhG8,2022-03-25T10:01:36Z,15
17,Buttered Toast [Original Song] | Lyric Video,https://www.youtube.com/watch?v=e4Lbhd8a4fA&list=PLFBWgqupDy_szyCWHmXapWz21O81OAPxA&index=17,e4Lbhd8a4fA,2021-07-14T16:00:12Z,16
18,Speakerfox — Below the Clouds,https://www.youtube.com/watch?v=aQYk25gx2lQ&list=PLFBWgqupDy_szyCWHmXapWz21O81OAPxA&index=18,aQYk25gx2lQ,2019-01-07T23:26:14Z,17
