#,title,videoUrl,videoId,publishedAt,position
1,UNSECRET X MANWELL - LAST ONE STANDING [OFFICIAL AUDIO],https://www.youtube.com/watch?v=VdlUfYlrchU&list=PLFBWgqupDy_tIlIaBz46KP8XVl1cJlewh&index=1,VdlUfYlrchU,2021-03-12T05:00:08Z,0
2,NEFFEX x NCS - DESPERATE ⛓ (Copyright-Free) No.203,https://www.youtube.com/watch?v=BVy9MApx9KA&list=PLFBWgqupDy_tIlIaBz46KP8XVl1cJlewh&index=2,BVy9MApx9KA,2023-04-28T16:00:08Z,1
3,Nuvfr - Blink,https://www.youtube.com/watch?v=-J8CHRSYrEY&list=PLFBWgqupDy_tIlIaBz46KP8XVl1cJlewh&index=3,-J8CHRSYrEY,2024-08-10T18:33:34Z,2
4,RUSH E but it's ACTUALLY PLAYABLE,https://www.youtube.com/watch?v=IVJEc7xvizg&list=PLFBWgqupDy_tIlIaBz46KP8XVl1cJlewh&index=4,IVJEc7xvizg,2018-06-04T21:00:01Z,3
5,In the Hall of the Mountain King (Piano Toccata),https://www.youtube.com/watch?v=GdUd-NnEN48&list=PLFBWgqupDy_tIlIaBz46KP8XVl1cJlewh&index=5,GdUd-NnEN48,2023-09-06T01:58:42Z,4
6,Vengeance,https://www.youtube.com/watch?v=8zJaLeEkIMU&list=PLFBWgqupDy_tIlIaBz46KP8XVl1cJlewh&index=6,8zJaLeEkIMU,2024-06-10T18:08:15Z,5
7,Aleph (Sped Up),https://www.youtube.com/watch?v=q7mM77D6ME0&list=PLFBWgqupDy_tIlIaBz46KP8XVl1cJlewh&index=7,q7mM77D6ME0,2023-12-29T20:49:16Z,6
8,Nightcrawler (Instrumental),https://www.youtube.com/watch?v=aQkfOkFvx2U&list=PLFBWgqupDy_tIlIaBz46KP8XVl1cJlewh&index=8,aQkfOkFvx2U,2024-02-13T17:57:10Z,7
9,"Royal Deluxe - ""I'm Back"" (Official Lyric Video)",https://www.youtube.com/watch?v=xZiPFMt0cF4&list=PLFBWgqupDy_tIlIaBz46KP8XVl1cJlewh&index=9,xZiPFMt0cF4,2020-10-23T19:00:12Z,8
10,"Clarx, Catas, Le Malls, CHENDA, Anikdote - Numb The Pain (ft. Shiah Maisel) | Electronic | NCS",https://www.youtube.com/watch?v=L75f9TWj3Mw&list=PLFBWgqupDy_tIlIaBz46KP8XVl1cJlewh&index=10,L75f9TWj3Mw,2021-09-28T15:15:03Z,9
11,Adam Jensen -  The Mystic (Official Audio),https://www.youtube.com/watch?v=rRUOGd_9orc&list=PLFBWgqupDy_tIlIaBz46KP8XVl1cJlewh&index=11,rRUOGd_9orc,2016-11-04T17:06:14Z,10
12,Welcome to the Fire,https://www.youtube.com/watch?v=6i6dfXEAxgw&list=PLFBWgqupDy_tIlIaBz46KP8XVl1cJlewh&index=12,6i6dfXEAxgw,2024-09-30T16:05:30Z,11
13,NEFFEX - Go! 🚀 [Copyright-Free] No.147,https://www.youtube.com/watch?v=X5cfg26vkOQ&list=PLFBWgqupDy_tIlIaBz46KP8XVl1cJlewh&index=13,X5cfg26vkOQ,2022-03-30T16:00:11Z,12
14,NEFFEX - Wake Up (Official Music Video - Copyright Free) No.237,https://www.youtube.com/watch?v=z1MgFIpSqJk&list=PLFBWgqupDy_tIlIaBz46KP8XVl1cJlewh&index=14,z1MgFIpSqJk,2025-03-19T16:00:08Z,13
15,Papa Roach - Born For Greatness (Official Video),https://www.youtube.com/watch?v=6enZdk9LTqs&list=PLFBWgqupDy_tIlIaBz46KP8XVl1cJlewh&index=15,6enZdk9LTqs,2018-02-02T14:00:00Z,14
