#,title,videoUrl,videoId,publishedAt,position
1,The Score - Head Up (Official Lyric Video),https://www.youtube.com/watch?v=zslGmkDnejQ&list=PLFBWgqupDy_uJjS_yx-FLVgTCFoR6aMfD&index=1,zslGmkDnejQ,2021-07-23T04:07:18Z,0
2,The Score - Enemies (Official Lyric Video),https://www.youtube.com/watch?v=LAjiTn5t78U&list=PLFBWgqupDy_uJjS_yx-FLVgTCFoR6aMfD&index=2,LAjiTn5t78U,2022-01-14T05:00:07Z,1
3,The Score - Unstoppable (Lyric Video),https://www.youtube.com/watch?v=_PBlykN4KIY&list=PLFBWgqupDy_uJjS_yx-FLVgTCFoR6aMfD&index=3,_PBlykN4KIY,2017-08-30T04:00:01Z,2
4,The Score - Legend (Audio),https://www.youtube.com/watch?v=jecQcgbyetw&list=PLFBWgqupDy_uJjS_yx-FLVgTCFoR6aMfD&index=4,jecQcgbyetw,2017-02-06T08:01:48Z,3
5,The Score - Higher (Official Audio),https://www.youtube.com/watch?v=XclXvB1Gmnc&list=PLFBWgqupDy_uJjS_yx-FLVgTCFoR6aMfD&index=5,XclXvB1Gmnc,2017-04-14T04:00:02Z,4
6,The Score - Who I Am (Official Audio),https://www.youtube.com/watch?v=MwtvktjEuOM&list=PLFBWgqupDy_uJjS_yx-FLVgTCFoR6aMfD&index=6,MwtvktjEuOM,2017-10-13T04:00:02Z,5
7,The Score - Glory (Official Audio),https://www.youtube.com/watch?v=i3ucSSVJTL4&list=PLFBWgqupDy_uJjS_yx-FLVgTCFoR6aMfD&index=7,i3ucSSVJTL4,2018-06-29T04:00:02Z,6
8,The Score - Only One (Official Audio),https://www.youtube.com/watch?v=3fv4n6kj4xA&list=PLFBWgqupDy_uJjS_yx-FLVgTCFoR6aMfD&index=8,3fv4n6kj4xA,2017-10-13T04:00:00Z,7
9,The Score - The Heat (Official Audio),https://www.youtube.com/watch?v=InAaCKqUmjE&list=PLFBWgqupDy_uJjS_yx-FLVgTCFoR6aMfD&index=9,InAaCKqUmjE,2017-04-03T04:00:02Z,8
10,The Score - Strange (Official Audio),https://www.youtube.com/watch?v=r_Vv6abqauM&list=PLFBWgqupDy_uJjS_yx-FLVgTCFoR6aMfD&index=10,r_Vv6abqauM,2017-10-13T04:00:04Z,9
11,The Score - Believe (Official Audio),https://www.youtube.com/watch?v=_yWFkqPV7dY&list=PLFBWgqupDy_uJjS_yx-FLVgTCFoR6aMfD&index=11,_yWFkqPV7dY,2017-10-27T04:00:02Z,10
12,The Score - Deep End (Official Lyric Video),https://www.youtube.com/watch?v=rwvs9jUPMps&list=PLFBWgqupDy_uJjS_yx-FLVgTCFoR6aMfD&index=12,rwvs9jUPMps,2023-12-01T05:00:44Z,11
13,Going Home,https://www.youtube.com/watch?v=q9eYpRB9zok&list=PLFBWgqupDy_uJjS_yx-FLVgTCFoR6aMfD&index=13,q9eYpRB9zok,2018-07-29T00:31:00Z,12
14,The Score - Best Part,https://www.youtube.com/watch?v=GXDNMinUPXc&list=PLFBWgqupDy_uJjS_yx-FLVgTCFoR6aMfD&index=14,GXDNMinUPXc,2020-04-24T04:00:11Z,13
15,The Score - The Fear (Audio),https://www.youtube.com/watch?v=K5U7b_E14cE&list=PLFBWgqupDy_uJjS_yx-FLVgTCFoR6aMfD&index=15,K5U7b_E14cE,2018-10-26T04:00:00Z,14
16,The Score - Miracle (Official Audio),https://www.youtube.com/watch?v=iSyN5ge0i2g&list=PLFBWgqupDy_uJjS_yx-FLVgTCFoR6aMfD&index=16,iSyN5ge0i2g,2017-04-14T04:00:03Z,15
17,Never Going Back,https://www.youtube.com/watch?v=6fimL3SOxyQ&list=PLFBWgqupDy_uJjS_yx-FLVgTCFoR6aMfD&index=17,6fimL3SOxyQ,2018-07-29T00:30:06Z,16
18,The Score - Revolution (Official Audio),https://www.youtube.com/watch?v=b99r48grKGI&list=PLFBWgqupDy_uJjS_yx-FLVgTCFoR6aMfD&index=18,b99r48grKGI,2017-02-03T05:00:01Z,17
19,The Score - Money Run Low (Official Audio),https://www.youtube.com/watch?v=facc6KUJYcM&list=PLFBWgqupDy_uJjS_yx-FLVgTCFoR6aMfD&index=19,facc6KUJYcM,2017-03-02T05:00:02Z,18
20,Don't Wanna Be,https://www.youtube.com/watch?v=qlYlR8piVz4&list=PLFBWgqupDy_uJjS_yx-FLVgTCFoR6aMfD&index=20,qlYlR8piVz4,2018-07-29T00:30:24Z,19
21,The Score - Stay (Lyric Video),https://www.youtube.com/watch?v=yRz6LBiyMWQ&list=PLFBWgqupDy_uJjS_yx-FLVgTCFoR6aMfD&index=21,yRz6LBiyMWQ,2019-06-10T04:00:04Z,20
22,The Score - Can't Stop Me Now (Lyric Video),https://www.youtube.com/watch?v=ZRRt8EyYNvg&list=PLFBWgqupDy_uJjS_yx-FLVgTCFoR6aMfD&index=22,ZRRt8EyYNvg,2019-08-09T04:00:07Z,21
23,"The Score, 2WEI - Down With The Wolves (Lyric Video)",https://www.youtube.com/watch?v=uhXW7eqF_SQ&list=PLFBWgqupDy_uJjS_yx-FLVgTCFoR6aMfD&index=23,uhXW7eqF_SQ,2024-03-22T04:00:38Z,22
24,The Score - Don't Need A Hero (Official Lyric Video),https://www.youtube.com/watch?v=ruw2woPI-fg&list=PLFBWgqupDy_uJjS_yx-FLVgTCFoR6aMfD&index=24,ruw2woPI-fg,2024-07-12T04:00:38Z,23
25,The Score - In My Bones (Lyric Video),https://www.youtube.com/watch?v=2CFBHThW7Dk&list=PLFBWgqupDy_uJjS_yx-FLVgTCFoR6aMfD&index=25,2CFBHThW7Dk,2019-08-09T04:00:00Z,24
26,The Score - Rush (Lyric Video),https://www.youtube.com/watch?v=qq9MrrjrZmo&list=PLFBWgqupDy_uJjS_yx-FLVgTCFoR6aMfD&index=26,qq9MrrjrZmo,2019-08-09T04:00:05Z,25
27,The Score - Victorious (Official Lyric Video),https://www.youtube.com/watch?v=Kj5Vzg21WnI&list=PLFBWgqupDy_uJjS_yx-FLVgTCFoR6aMfD&index=27,Kj5Vzg21WnI,2021-06-25T07:00:07Z,26
