#,title,videoUrl,videoId,publishedAt,position
1,I Need Somebody (Music Video),https://www.youtube.com/watch?v=JEDzySz3IN8&list=PLFBWgqupDy_vrjXYRQ7jDN5D0ds1QAIF6&index=1,JEDzySz3IN8,2023-09-09T19:00:08Z,0
2,Fallen World,https://www.youtube.com/watch?v=2ha1-PI8O7M&list=PLFBWgqupDy_vrjXYRQ7jDN5D0ds1QAIF6&index=2,2ha1-PI8O7M,2024-11-25T08:55:19Z,1
3,Verplex - My Future,https://www.youtube.com/watch?v=yKsOFf4F3wg&list=PLFBWgqupDy_vrjXYRQ7jDN5D0ds1QAIF6&index=3,yKsOFf4F3wg,2022-09-12T06:40:39Z,2
4,READY OR NOT? - snuffles,https://www.youtube.com/watch?v=-cIQJ4v_fgk&list=PLFBWgqupDy_vrjXYRQ7jDN5D0ds1QAIF6&index=4,-cIQJ4v_fgk,2023-12-18T05:00:00Z,3
5,Wag My Tail,https://www.youtube.com/watch?v=fiRnaIOgGWQ&list=PLFBWgqupDy_vrjXYRQ7jDN5D0ds1QAIF6&index=5,fiRnaIOgGWQ,2023-11-17T10:03:58Z,4
6,Verplex - Spark,https://www.youtube.com/watch?v=ThxrRKztpR8&list=PLFBWgqupDy_vrjXYRQ7jDN5D0ds1QAIF6&index=6,ThxrRKztpR8,2023-10-22T18:04:11Z,5
7,Verplex - Awake,https://www.youtube.com/watch?v=UgQPNKuASiw&list=PLFBWgqupDy_vrjXYRQ7jDN5D0ds1QAIF6&index=7,UgQPNKuASiw,2022-03-18T07:00:07Z,6
8,Verplex - BetaEtaDelota,https://www.youtube.com/watch?v=X0xlwmmChss&list=PLFBWgqupDy_vrjXYRQ7jDN5D0ds1QAIF6&index=8,X0xlwmmChss,2018-06-07T08:07:01Z,7
9,Verplex - Green N Purple,https://www.youtube.com/watch?v=z1IdaICQ8OY&list=PLFBWgqupDy_vrjXYRQ7jDN5D0ds1QAIF6&index=9,z1IdaICQ8OY,2022-05-07T21:21:14Z,8
10,Dreamscape,https://www.youtube.com/watch?v=LWQHXAnKC58&list=PLFBWgqupDy_vrjXYRQ7jDN5D0ds1QAIF6&index=10,LWQHXAnKC58,2022-02-03T10:09:48Z,9
11,Galaxy,https://www.youtube.com/watch?v=ZGIMoV4RPkQ&list=PLFBWgqupDy_vrjXYRQ7jDN5D0ds1QAIF6&index=11,ZGIMoV4RPkQ,2023-02-23T10:02:33Z,10
12,Verplex - FurryFoofi,https://www.youtube.com/watch?v=Vlb8nQI_-8M&list=PLFBWgqupDy_vrjXYRQ7jDN5D0ds1QAIF6&index=12,Vlb8nQI_-8M,2020-11-28T20:00:10Z,11
13,Verplex - Frost Fox,https://www.youtube.com/watch?v=ne0ZW3oBcJc&list=PLFBWgqupDy_vrjXYRQ7jDN5D0ds1QAIF6&index=13,ne0ZW3oBcJc,2021-06-04T01:30:12Z,12
14,Verplex - On My Way,https://www.youtube.com/watch?v=Hh3DltMkTeU&list=PLFBWgqupDy_vrjXYRQ7jDN5D0ds1QAIF6&index=14,Hh3DltMkTeU,2022-03-18T07:00:08Z,13
15,Verplex - Timus,https://www.youtube.com/watch?v=Zz_8QGH3BIk&list=PLFBWgqupDy_vrjXYRQ7jDN5D0ds1QAIF6&index=15,Zz_8QGH3BIk,2018-09-10T18:54:08Z,14
16,Kiwi Fox,https://www.youtube.com/watch?v=Cm-mQEPV2tE&list=PLFBWgqupDy_vrjXYRQ7jDN5D0ds1QAIF6&index=16,Cm-mQEPV2tE,2022-01-20T10:04:55Z,15
17,Verplex - Corey Coyote,https://www.youtube.com/watch?v=CTTyYwYIrzg&list=PLFBWgqupDy_vrjXYRQ7jDN5D0ds1QAIF6&index=17,CTTyYwYIrzg,2020-11-03T20:00:11Z,16
18,Verplex & TPressleyJ - Icey Wolf,https://www.youtube.com/watch?v=cYFW9dJsOwo&list=PLFBWgqupDy_vrjXYRQ7jDN5D0ds1QAIF6&index=18,cYFW9dJsOwo,2020-07-24T19:00:10Z,17
19,Verplex - Odin Wolf,https://www.youtube.com/watch?v=yV3KOqIDQ_0&list=PLFBWgqupDy_vrjXYRQ7jDN5D0ds1QAIF6&index=19,yV3KOqIDQ_0,2020-01-05T00:00:11Z,18
20,Verplex - Pineapple Fox,https://www.youtube.com/watch?v=7IjKIBNnv8E&list=PLFBWgqupDy_vrjXYRQ7jDN5D0ds1QAIF6&index=20,7IjKIBNnv8E,2020-03-27T17:00:11Z,19
21,Verplex - JJ,https://www.youtube.com/watch?v=yLKZDiPyi34&list=PLFBWgqupDy_vrjXYRQ7jDN5D0ds1QAIF6&index=21,yLKZDiPyi34,2020-06-16T19:00:14Z,20
22,What I'll Do,https://www.youtube.com/watch?v=6MWrLF5Ci2Q&list=PLFBWgqupDy_vrjXYRQ7jDN5D0ds1QAIF6&index=22,6MWrLF5Ci2Q,2023-11-17T10:03:33Z,21
23,Verplex - Namia,https://www.youtube.com/watch?v=T7ZQOO66TeI&list=PLFBWgqupDy_vrjXYRQ7jDN5D0ds1QAIF6&index=23,T7ZQOO66TeI,2020-03-13T02:43:44Z,22
24,Verplex - Mark's Barks,https://www.youtube.com/watch?v=gO1gAXyV47g&list=PLFBWgqupDy_vrjXYRQ7jDN5D0ds1QAIF6&index=24,gO1gAXyV47g,2018-08-11T03:23:20Z,23
25,Verplex - Love and Affection,https://www.youtube.com/watch?v=FBYAfXY-qoQ&list=PLFBWgqupDy_vrjXYRQ7jDN5D0ds1QAIF6&index=25,FBYAfXY-qoQ,2022-11-18T20:31:41Z,24
