#,title,videoUrl,videoId,publishedAt,position
1,UNSECRET X MØØNWATER - ONLY THE BEGINNING [OFFICIAL AUDIO],https://www.youtube.com/watch?v=ESpSAbbknIo&list=PLFBWgqupDy_tPRALZPQeE_I8f7UQE4FDt&index=1,ESpSAbbknIo,2020-12-18T05:00:03Z,0
2,ivycomb - Tokyo (Official Lyric Video),https://www.youtube.com/watch?v=8G_wgBxnTec&list=PLFBWgqupDy_tPRALZPQeE_I8f7UQE4FDt&index=2,8G_wgBxnTec,2021-11-06T02:45:12Z,1
3,Won't Go - snuffles,https://www.youtube.com/watch?v=UG1HUOyL9IA&list=PLFBWgqupDy_tPRALZPQeE_I8f7UQE4FDt&index=3,UG1HUOyL9IA,2021-11-01T04:00:15Z,2
4,Wag My Tail,https://www.youtube.com/watch?v=fiRnaIOgGWQ&list=PLFBWgqupDy_tPRALZPQeE_I8f7UQE4FDt&index=4,fiRnaIOgGWQ,2023-11-17T10:03:58Z,3
5,Ruelle - Empires [Official Audio],https://www.youtube.com/watch?v=DjkJ7SUe-4o&list=PLFBWgqupDy_tPRALZPQeE_I8f7UQE4FDt&index=5,DjkJ7SUe-4o,2018-08-03T04:50:37Z,4
6,Adele - Skyfall (Official Lyric Video),https://www.youtube.com/watch?v=DeumyOzKqgI&list=PLFBWgqupDy_tPRALZPQeE_I8f7UQE4FDt&index=6,DeumyOzKqgI,2012-10-18T16:04:00Z,5
7,too late 2 - snuffles,https://www.youtube.com/watch?v=njowoGhmw6E&list=PLFBWgqupDy_tPRALZPQeE_I8f7UQE4FDt&index=7,njowoGhmw6E,2022-10-01T04:00:31Z,6
8,Ain't No Crying - Derivakat [Dream SMP original song],https://www.youtube.com/watch?v=2mIWJWi4Bhk&list=PLFBWgqupDy_tPRALZPQeE_I8f7UQE4FDt&index=8,2mIWJWi4Bhk,2021-02-11T18:00:16Z,7
9,i don't wanna - snuffles,https://www.youtube.com/watch?v=A02vT-I4Dds&list=PLFBWgqupDy_tPRALZPQeE_I8f7UQE4FDt&index=9,A02vT-I4Dds,2024-10-18T04:00:07Z,8
10,Ocean of Memories,https://www.youtube.com/watch?v=0WykZs55UjA&list=PLFBWgqupDy_tPRALZPQeE_I8f7UQE4FDt&index=10,0WykZs55UjA,2023-09-27T20:03:55Z,9
11,park walk,https://www.youtube.com/watch?v=Zm5o00sgddI&list=PLFBWgqupDy_tPRALZPQeE_I8f7UQE4FDt&index=11,Zm5o00sgddI,2023-10-12T10:03:22Z,10
12,"TheFatRat, Slaydit & Anjulie - Stronger [Monstercat Release]",https://www.youtube.com/watch?v=gHgv19ip-0c&list=PLFBWgqupDy_tPRALZPQeE_I8f7UQE4FDt&index=12,gHgv19ip-0c,2019-06-24T20:01:49Z,11
