#,title,videoUrl,videoId,publishedAt,position
1,I Can Do Anything / Finale,https://www.youtube.com/watch?v=RGvKLa0CYzE&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=1,RGvKLa0CYzE,2022-07-07T10:01:28Z,0
2,øneheart x reidenshi - snowfall,https://www.youtube.com/watch?v=LlN8MPS7KQs&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=2,LlN8MPS7KQs,2022-01-14T18:29:35Z,1
3,"VØJ, Narvent - Memory Reboot (4K Music Video)",https://www.youtube.com/watch?v=wL8DVHuWI7Y&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=3,wL8DVHuWI7Y,2023-01-17T12:15:03Z,2
4,Vengeance,https://www.youtube.com/watch?v=8zJaLeEkIMU&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=4,8zJaLeEkIMU,2024-06-10T18:08:15Z,3
5,METAMORPHOSIS,https://www.youtube.com/watch?v=lJvRohYSrZM&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=5,lJvRohYSrZM,2022-02-14T22:28:32Z,4
6,Aleph (Gesaffelstein - slowed),https://www.youtube.com/watch?v=iOxS7uIZ_es&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=6,iOxS7uIZ_es,2023-06-26T10:04:45Z,5
7,Eminem - Without Me (Official Music Video),https://www.youtube.com/watch?v=YVkUvmDQ3HY&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=7,YVkUvmDQ3HY,2009-06-16T23:00:29Z,6
8,Panic! At The Disco - House of Memories (Official Audio),https://www.youtube.com/watch?v=KuliCkN2oic&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=8,KuliCkN2oic,2016-01-15T04:17:41Z,7
9,g3ox_em - GigaChad Theme (Phonk House Version),https://www.youtube.com/watch?v=OVh0bMNSFss&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=9,OVh0bMNSFss,2022-08-18T14:56:08Z,8
10,M83 - Solitude (Felsmann + Tiley Reinterpretation) (Official Audio),https://www.youtube.com/watch?v=_p2NvO6KrBs&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=10,_p2NvO6KrBs,2020-05-14T09:41:12Z,9
11,drive forever [slowed&reverb],https://www.youtube.com/watch?v=tadW2jSFz5U&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=11,tadW2jSFz5U,2023-02-28T20:23:02Z,10
