#,title,videoUrl,videoId,publishedAt,position
1,i don't wanna - snuffles,https://www.youtube.com/watch?v=A02vT-I4Dds&list=PLFBWgqupDy_utSTw0d7-E1b2J7vlAuweN&index=1,A02vT-I4Dds,2024-10-18T04:00:07Z,0
2,Won't Go - snuffles,https://www.youtube.com/watch?v=UG1HUOyL9IA&list=PLFBWgqupDy_utSTw0d7-E1b2J7vlAuweN&index=2,UG1HUOyL9IA,2021-11-01T04:00:15Z,1
3,Keep on With It - snuffles,https://www.youtube.com/watch?v=kg3ed9NRQJo&list=PLFBWgqupDy_utSTw0d7-E1b2J7vlAuweN&index=3,kg3ed9NRQJo,2021-11-01T00:55:59Z,2
4,Seven Run - snuffles,https://www.youtube.com/watch?v=vTc0eldSVkA&list=PLFBWgqupDy_utSTw0d7-E1b2J7vlAuweN&index=4,vTc0eldSVkA,2022-06-01T04:00:30Z,3
5,READY OR NOT? - snuffles,https://www.youtube.com/watch?v=-cIQJ4v_fgk&list=PLFBWgqupDy_utSTw0d7-E1b2J7vlAuweN&index=5,-cIQJ4v_fgk,2023-12-18T05:00:00Z,4
6,enemy,https://www.youtube.com/watch?v=iOYCTt5mSsA&list=PLFBWgqupDy_utSTw0d7-E1b2J7vlAuweN&index=6,iOYCTt5mSsA,2021-04-30T12:18:52Z,5
7,SPOTS - snuffles,https://www.youtube.com/watch?v=GUZWSxqDJUk&list=PLFBWgqupDy_utSTw0d7-E1b2J7vlAuweN&index=7,GUZWSxqDJUk,2024-03-15T04:00:08Z,6
8,too late - snuffles,https://www.youtube.com/watch?v=pEtcyFBysAg&list=PLFBWgqupDy_utSTw0d7-E1b2J7vlAuweN&index=8,pEtcyFBysAg,2022-01-06T01:01:43Z,7
9,what the,https://www.youtube.com/watch?v=WAX_FEgRuOk&list=PLFBWgqupDy_utSTw0d7-E1b2J7vlAuweN&index=9,WAX_FEgRuOk,2020-11-22T03:59:35Z,8
10,7teen,https://www.youtube.com/watch?v=q7GOk-cE3mY&list=PLFBWgqupDy_utSTw0d7-E1b2J7vlAuweN&index=10,q7GOk-cE3mY,2021-04-30T12:18:52Z,9
11,udkm,https://www.youtube.com/watch?v=fgKe5hWM_0s&list=PLFBWgqupDy_utSTw0d7-E1b2J7vlAuweN&index=11,fgKe5hWM_0s,2021-04-30T12:18:53Z,10
12,Fall End Sea - snuffles,https://www.youtube.com/watch?v=_dMbSHwtKk8&list=PLFBWgqupDy_utSTw0d7-E1b2J7vlAuweN&index=12,_dMbSHwtKk8,2023-05-01T04:00:26Z,11
13,too late 2 - snuffles,https://www.youtube.com/watch?v=njowoGhmw6E&list=PLFBWgqupDy_utSTw0d7-E1b2J7vlAuweN&index=13,njowoGhmw6E,2022-10-01T04:00:31Z,12
14,But Here I Am - snuffles,https://www.youtube.com/watch?v=WhCfDly6a4Y&list=PLFBWgqupDy_utSTw0d7-E1b2J7vlAuweN&index=14,WhCfDly6a4Y,2023-05-01T04:02:00Z,13
15,what the,https://www.youtube.com/watch?v=WAX_FEgRuOk&list=PLFBWgqupDy_utSTw0d7-E1b2J7vlAuweN&index=15,WAX_FEgRuOk,2020-11-22T03:59:35Z,14
16,hoopsnake (feat. saturn),https://www.youtube.com/watch?v=PbCl94JaSwA&list=PLFBWgqupDy_utSTw0d7-E1b2J7vlAuweN&index=16,PbCl94JaSwA,2021-04-30T12:18:52Z,15
17,Just a Little Better - snuffles,https://www.youtube.com/watch?v=pi65NU1Qhzs&list=PLFBWgqupDy_utSTw0d7-E1b2J7vlAuweN&index=17,pi65NU1Qhzs,2023-05-01T04:01:00Z,16
18,READY OR NOT? [chill version]  - snuffles,https://www.youtube.com/watch?v=WwFcHuIQFrw&list=PLFBWgqupDy_utSTw0d7-E1b2J7vlAuweN&index=18,WwFcHuIQFrw,2023-12-18T05:00:15Z,17
19,borders990,https://www.youtube.com/watch?v=hf309Xh0J4Y&list=PLFBWgqupDy_utSTw0d7-E1b2J7vlAuweN&index=19,hf309Xh0J4Y,2021-04-30T12:18:53Z,18
20,THIS THOUGHT - Frizk & snuffles,https://www.youtube.com/watch?v=tc8IhElRJkA&list=PLFBWgqupDy_utSTw0d7-E1b2J7vlAuweN&index=20,tc8IhElRJkA,2024-08-01T04:00:41Z,19
21,SPOTS 2 - snuffles,https://www.youtube.com/watch?v=b4VFkSG4lk8&list=PLFBWgqupDy_utSTw0d7-E1b2J7vlAuweN&index=21,b4VFkSG4lk8,2025-08-15T04:00:06Z,20
22,I cant stop making mistakes - snuffles,https://www.youtube.com/watch?v=GS3qN6EIGk4&list=PLFBWgqupDy_utSTw0d7-E1b2J7vlAuweN&index=22,GS3qN6EIGk4,2025-09-26T04:00:05Z,21
