#,title,videoUrl,videoId,publishedAt,position
1,i don't wanna - snuffles,https://www.youtube.com/watch?v=A02vT-I4Dds&list=PLFBWgqupDy_vUuc1SdQdQHpqdm8fXdnwi&index=1,A02vT-I4Dds,2024-10-18T04:00:07Z,0
2,Won't Go - snuffles,https://www.youtube.com/watch?v=UG1HUOyL9IA&list=PLFBWgqupDy_vUuc1SdQdQHpqdm8fXdnwi&index=2,UG1HUOyL9IA,2021-11-01T04:00:15Z,1
3,Just a Little Better - snuffles,https://www.youtube.com/watch?v=pi65NU1Qhzs&list=PLFBWgqupDy_vUuc1SdQdQHpqdm8fXdnwi&index=3,pi65NU1Qhzs,2023-05-01T04:01:00Z,2
4,READY OR NOT? [chill version]  - snuffles,https://www.youtube.com/watch?v=WwFcHuIQFrw&list=PLFBWgqupDy_vUuc1SdQdQHpqdm8fXdnwi&index=4,WwFcHuIQFrw,2023-12-18T05:00:15Z,3
5,Keep on With It - snuffles,https://www.youtube.com/watch?v=kg3ed9NRQJo&list=PLFBWgqupDy_vUuc1SdQdQHpqdm8fXdnwi&index=5,kg3ed9NRQJo,2021-11-01T00:55:59Z,4
6,Fall End Sea - snuffles,https://www.youtube.com/watch?v=_dMbSHwtKk8&list=PLFBWgqupDy_vUuc1SdQdQHpqdm8fXdnwi&index=6,_dMbSHwtKk8,2023-05-01T04:00:26Z,5
7,But Here I Am - snuffles,https://www.youtube.com/watch?v=WhCfDly6a4Y&list=PLFBWgqupDy_vUuc1SdQdQHpqdm8fXdnwi&index=7,WhCfDly6a4Y,2023-05-01T04:02:00Z,6
8,SPOTS - snuffles,https://www.youtube.com/watch?v=GUZWSxqDJUk&list=PLFBWgqupDy_vUuc1SdQdQHpqdm8fXdnwi&index=8,GUZWSxqDJUk,2024-03-15T04:00:08Z,7
9,Rain,https://www.youtube.com/watch?v=Gf02GVdI7D0&list=PLFBWgqupDy_vUuc1SdQdQHpqdm8fXdnwi&index=9,Gf02GVdI7D0,2024-07-14T00:00:07Z,8
10,too late 2 - snuffles,https://www.youtube.com/watch?v=njowoGhmw6E&list=PLFBWgqupDy_vUuc1SdQdQHpqdm8fXdnwi&index=10,njowoGhmw6E,2022-10-01T04:00:31Z,9
11,THIS THOUGHT - Frizk & snuffles,https://www.youtube.com/watch?v=tc8IhElRJkA&list=PLFBWgqupDy_vUuc1SdQdQHpqdm8fXdnwi&index=11,tc8IhElRJkA,2024-08-01T04:00:41Z,10
12,Wag My Tail,https://www.youtube.com/watch?v=fiRnaIOgGWQ&list=PLFBWgqupDy_vUuc1SdQdQHpqdm8fXdnwi&index=12,fiRnaIOgGWQ,2023-11-17T10:03:58Z,11
13,READY OR NOT? - snuffles,https://www.youtube.com/watch?v=-cIQJ4v_fgk&list=PLFBWgqupDy_vUuc1SdQdQHpqdm8fXdnwi&index=13,-cIQJ4v_fgk,2023-12-18T05:00:00Z,12
14,a cat walks into a bar,https://www.youtube.com/watch?v=zW9TGWsGfDg&list=PLFBWgqupDy_vUuc1SdQdQHpqdm8fXdnwi&index=14,zW9TGWsGfDg,2024-09-25T09:17:02Z,13
15,ivycomb - GIZABYTE (Official Visualizer),https://www.youtube.com/watch?v=Pfv18GSX324&list=PLFBWgqupDy_vUuc1SdQdQHpqdm8fXdnwi&index=15,Pfv18GSX324,2022-06-21T01:51:27Z,14
16,Verplex - Never Too Late,https://www.youtube.com/watch?v=qREZFPu543k&list=PLFBWgqupDy_vUuc1SdQdQHpqdm8fXdnwi&index=16,qREZFPu543k,2021-05-20T19:00:14Z,15
17,Buttered Toast [Original Song] | Lyric Video,https://www.youtube.com/watch?v=e4Lbhd8a4fA&list=PLFBWgqupDy_vUuc1SdQdQHpqdm8fXdnwi&index=17,e4Lbhd8a4fA,2021-07-14T16:00:12Z,16
18,Sing For The Void [Original Song] | Lyric Video,https://www.youtube.com/watch?v=80ezKLZMlhs&list=PLFBWgqupDy_vUuc1SdQdQHpqdm8fXdnwi&index=18,80ezKLZMlhs,2021-08-23T16:00:12Z,17
19,Over Amplified [Original Song] | Lyric Video,https://www.youtube.com/watch?v=niJZw4kZ7ak&list=PLFBWgqupDy_vUuc1SdQdQHpqdm8fXdnwi&index=19,niJZw4kZ7ak,2021-07-28T16:00:11Z,18
20,Ain't The Kinda Lovin' I Do [Original Song] | Lyric Video,https://www.youtube.com/watch?v=j-SYw_hNRmc&list=PLFBWgqupDy_vUuc1SdQdQHpqdm8fXdnwi&index=20,j-SYw_hNRmc,2021-06-22T16:00:10Z,19
21,Swinging Under The Stars [Original Song] | Lyric Video,https://www.youtube.com/watch?v=mpph5nAfy2k&list=PLFBWgqupDy_vUuc1SdQdQHpqdm8fXdnwi&index=21,mpph5nAfy2k,2022-01-12T17:00:11Z,20
22,Gone Away,https://www.youtube.com/watch?v=uvXoGwuDtc0&list=PLFBWgqupDy_vUuc1SdQdQHpqdm8fXdnwi&index=22,uvXoGwuDtc0,2022-02-01T10:08:36Z,21
